word,level,sentence,word_mean
warning,b1,I'm warning you.,"something that makes you understand there is a possible danger or problem , especially one in the future :"
wash,a2,Wash your hands.,to clean something using water :
washing,a2,A bunch of ball-washing bastards!,the act of washing clothes :
waste,b1,What a waste.,"an unnecessary or wrong use of money , substances , time , energy , abilities , etc.:"
watch,a1,Who knows what you've spoken to the darkness in the bitter watches of the night when all your life seems to shrink. | Watch out!,"to look at something for a period of time , especially something that is changing or moving :"
water,a1,He leadeth me beside the still waters. | Water.,"the area of sea near to and belonging to a particular country : | a clear liquid , without colour or taste , that falls from the sky as rain and is necessary for animal and plant life :"
wave,a2,Wave.,"to raise your hand and move it from side to side as a way of greeting someone, telling someone to do something, or adding emphasis to an expression :"
weakness,b2,It's a sign of weakness.,the fact or state of not being strong or powerful :
wealth,b2,Wealth.,a large amount of money or valuable possessions that someone has:
weapon,b1,Drop your weapons! | Drop your weapon!,"any object used in fighting or war , such as a gun , bomb , knife , etc.:"
weather,a1,How's the weather?,"the conditions in the air above the earth such as wind , rain , or temperature , especially at a particular time over a particular area :"
web,a2,Web.,"a net used to catch insects , made by a spider from the sticky thread that its body produces :"
website,a1,"Well, he's logged into our secure website using your name and password.","a set of pages of information on the internet about a particular subject , published by a single person or organization :"
wedding,a2,I love weddings. | Wedding?,a marriage ceremony and any celebrations such as a meal or a party that follow it:
Wednesday,a1,Wednesday.,the day of the week after Tuesday and before Thursday :
week,a1,Two weeks. | A week?,"a period of seven days , especially either from Monday to Sunday or from Sunday to Saturday :"
weekend,a1,Have a good weekend. | Weekends.,"Saturday and Sunday , or Friday evening until Sunday night ; the part of the week in which many people living in the West do not go to work :"
weight,a2,You've lost weight.,the amount that something or someone weighs :
welcome,a2,You're welcome.,to be pleased about and encourage or support something:
wheel,a2,Nice wheels. | Take the wheel.,"a car : | a circular object connected at the centre to a bar , used for making vehicles or parts of machines move :"
whisper,b2,Whisper. | Rumor grew of a shadow in the East whispers of a nameless fear.,"to speak very quietly , using the breath but not the voice , so that only the person close to you can hear you:"
wife,a1,My wife.,the woman that you are married to:
will,b1,I will.,"used to talk about what is going to happen in the future , especially things that you are certain about or things that are planned :"
wind,a2,Winds! | Wind.,"a current of air moving approximately horizontally, especially one strong enough to be felt :"
window,a1,The window. | Windows!,"a space usually filled with glass in the wall of a building or in a vehicle , to allow light and air in and to allow people inside the building to see out: | a brand name for a software system produced by Microsoft with many commonly used software products :"
wine,a1,Wine?,"an alcoholic drink that is usually made from grapes , but can also be made from other fruits or flowers . It is made by fermenting the fruit with water and sugar :"
wing,b1,Wing! | Wings.,"the flat part of the body that a bird , insect , or bat uses for flying , or one of the flat , horizontal structures that stick out from the side of an aircraft and support it when it is flying : | the sides of a stage that cannot be seen by the people watching the play :"
winner,a2,Winners. | Winner!,"someone who wins a game , competition , or election :"
winter,a1,Most have seen too many winters. | Winter.,"the season between autumn and spring , lasting from November to March north of the equator and from May to September south of the equator , when the weather is coldest :"
wire,b2,Wire.,"a piece of thin metal thread that can be bent , used for fastening things and for making particular types of objects that are strong but can bend :"
wish,a2,As you wish. | Best wishes.,"used with the past simple to express that you feel sorry or sad about a state or situation that exists at the moment : | something you say or write at the end of a letter , during a happy event , etc. to show that you hope someone is happy and has good luck :"
