bernard,"My agent, Bernard, is bringing a woman who writes for Art in America.",exact,"a very large , strong dog used especially in Switzerland in the past to find people lost in the mountains"
risks,"You may run the risks, my friend, but I do the cutting.",exact,the possibility of something bad happening :
chains,"1-Adam-12, a 415, fight group with chains and knives.",exact,another word for snow chains :
phoenix,"And I have a long drive tomorrow, all the way back to Phoenix.",exact,"in ancient stories , an imaginary bird that set fire to itself every 500 years and was born again, rising from its ashes (= the powder left after its body has been burned ) :"
magazines,I want you to collect magazines from everybody.,exact,a type of thin book with large pages and a paper cover that contains articles and photographs and is published every week or month :
child's,"Lullaby for the dead, in a child's lullaby...",exact,something that is very easy to do:
claire,Claire was never convinced her charms would work on you.,exact,
accent,That's pretty tricky with that accent.,exact,"the way in which people in a particular area , country , or social group pronounce words:"
overcome,"Charging through the sky, while we overcome mountains!",exact,to defeat or succeed in controlling or dealing with something:
distinguished,A most distinguished guest would like to say a few words.,exact,"used to describe a respected and admired person , or their work :"
objects,"Would you put all your metal objects into this dish, please?",exact,"a thing that you can see or touch but that is not usually a living animal , plant , or person :"
ernie,"Ernie, what time do you got?",exact,
buttons,We don't pay for the buttons.,exact,"a small , usually circular object used to fasten something, for example a shirt or coat :"
platform,Prepare to disengage from platform.,exact,a flat raised area or structure
volunteer,I'll volunteer to be in the first group to go out.,exact,"a person who does something, especially helping other people , willingly and without being forced or paid to do it:"
higgins,Mr. Higgins will miss her.,exact,
sequence,A coding sequence cannot be revised once it's been established.,exact,"a series of related things or events , or the order in which they follow each other:"
charlotte,"Now you shall see, Charlotte.",exact,"a type of sweet dish made with layers of fruit and bread , cake , or biscuits in a special shaped container :"
qualified,He's fully qualified to fly this mission.,exact,"having finished a training course , or having particular skills , etc.:"
stephen,"Leonard Stephen Vole, you are charged on indictment for that you, on the 14th day of October, in the county of London, murdered Emily Jane French.",exact,
offended,"You can ask me what you're gonna ask me, and my natural response could be to get offended.",exact,"upset and angry , often because someone has been rude :"
ginger,I want to talk to Ginger.,exact,"the spicy root of a tropical plant that is used in cooking or preserved in sugar , or a powder made from this root , used as a spice :"
fry,"Throw in some tomatoes, tomato paste, fry it and make sure it doesn't stick.",exact,to cook food in hot oil or fat :
bacon,"Yeah, but bacon tastes good.",exact,"meat from the back or sides of a pig , often eaten fried in thin slices :"
breast,"Five in each ear, one through the nipple of my left breast, two in my right nostril, one in my left eyebrow, one in my belly, one in my lip, one in my clit,",exact,"either of the two soft , rounded parts of a woman's chest that produce milk after she has a baby :"
uniforms,So you changed uniforms with a dead man.,exact,a particular set of clothes that has to be worn by the members of the same organization or group of people :
nevertheless,"Though she only made herself dangerously ill due to the very small amount which she swallowed this, nevertheless, caused an intervention from a certain quarter which was long overdue.",exact,despite what has just been said or referred to:
we'ii,We'II see about that.,exact,
skies,And the skies are not cloudy all day,exact,the sky in a particular state or place :
compare,Shall I compare thee to a summer's day?,exact,to examine or look for the difference between two or more things:
formed,They have formed a group of international candidates.,exact,past simple and past participle of form
leonard,Leonard talks to his rifle.,exact,
exhausted,Let's go together even though we are exhausted,exact,extremely tired :
presented,Presented by Anonymous Russian Rippers straight_forwardmail.ru Edited by alienhulk2099,exact,past simple and past participle of present
largest,The largest and most secure bank in the territory.,exact,big in size or amount :
tobacco,Do you have any tobacco?,exact,"a substance smoked in cigarettes , pipes , etc. that is prepared from the dried leaves of a particular plant :"
